x_shape,w_shape,bias,stride,padding,dilation,transposed,out_shape
"torch.Size([1, 512, 28, 28])","torch.Size([512, 512, 3, 3])",torch.Size([512]),"[1, 1]","[1, 1]","[1, 1]",False,"torch.Size([1, 512, 28, 28])"
"torch.Size([1, 512, 14, 14])","torch.Size([512, 512, 3, 3])",torch.Size([512]),"[1, 1]","[1, 1]","[1, 1]",False,"torch.Size([1, 512, 14, 14])"
"torch.Size([1, 512, 14, 14])","torch.Size([512, 512, 3, 3])",torch.Size([512]),"[1, 1]","[1, 1]","[1, 1]",False,"torch.Size([1, 512, 14, 14])"
"torch.Size([1, 512, 14, 14])","torch.Size([512, 512, 3, 3])",torch.Size([512]),"[1, 1]","[1, 1]","[1, 1]",False,"torch.Size([1, 512, 14, 14])"
"torch.Size([1, 512, 14, 14])","torch.Size([512, 512, 3, 3])",torch.Size([512]),"[1, 1]","[1, 1]","[1, 1]",False,"torch.Size([1, 512, 14, 14])"
"torch.Size([1, 3, 224, 224])","torch.Size([64, 3, 3, 3])",torch.Size([64]),"[1, 1]","[1, 1]","[1, 1]",False,"torch.Size([1, 64, 224, 224])"
"torch.Size([1, 64, 224, 224])","torch.Size([64, 64, 3, 3])",torch.Size([64]),"[1, 1]","[1, 1]","[1, 1]",False,"torch.Size([1, 64, 224, 224])"
"torch.Size([1, 64, 112, 112])","torch.Size([128, 64, 3, 3])",torch.Size([128]),"[1, 1]","[1, 1]","[1, 1]",False,"torch.Size([1, 128, 112, 112])"
"torch.Size([1, 128, 112, 112])","torch.Size([128, 128, 3, 3])",torch.Size([128]),"[1, 1]","[1, 1]","[1, 1]",False,"torch.Size([1, 128, 112, 112])"
"torch.Size([1, 128, 56, 56])","torch.Size([256, 128, 3, 3])",torch.Size([256]),"[1, 1]","[1, 1]","[1, 1]",False,"torch.Size([1, 256, 56, 56])"
"torch.Size([1, 256, 56, 56])","torch.Size([256, 256, 3, 3])",torch.Size([256]),"[1, 1]","[1, 1]","[1, 1]",False,"torch.Size([1, 256, 56, 56])"
"torch.Size([1, 256, 56, 56])","torch.Size([256, 256, 3, 3])",torch.Size([256]),"[1, 1]","[1, 1]","[1, 1]",False,"torch.Size([1, 256, 56, 56])"
"torch.Size([1, 256, 28, 28])","torch.Size([512, 256, 3, 3])",torch.Size([512]),"[1, 1]","[1, 1]","[1, 1]",False,"torch.Size([1, 512, 28, 28])"
"torch.Size([1, 512, 28, 28])","torch.Size([512, 512, 3, 3])",torch.Size([512]),"[1, 1]","[1, 1]","[1, 1]",False,"torch.Size([1, 512, 28, 28])"
"torch.Size([1, 512, 28, 28])","torch.Size([512, 512, 3, 3])",torch.Size([512]),"[1, 1]","[1, 1]","[1, 1]",False,"torch.Size([1, 512, 28, 28])"
"torch.Size([1, 512, 14, 14])","torch.Size([512, 512, 3, 3])",torch.Size([512]),"[1, 1]","[1, 1]","[1, 1]",False,"torch.Size([1, 512, 14, 14])"
"torch.Size([1, 512, 14, 14])","torch.Size([512, 512, 3, 3])",torch.Size([512]),"[1, 1]","[1, 1]","[1, 1]",False,"torch.Size([1, 512, 14, 14])"
"torch.Size([1, 512, 14, 14])","torch.Size([512, 512, 3, 3])",torch.Size([512]),"[1, 1]","[1, 1]","[1, 1]",False,"torch.Size([1, 512, 14, 14])"
"torch.Size([1, 3, 224, 224])","torch.Size([64, 3, 7, 7])",,"[2, 2]","[3, 3]","[1, 1]",False,"torch.Size([1, 64, 112, 112])"
"torch.Size([1, 64, 56, 56])","torch.Size([64, 64, 3, 3])",,"[1, 1]","[1, 1]","[1, 1]",False,"torch.Size([1, 64, 56, 56])"
"torch.Size([1, 64, 56, 56])","torch.Size([64, 64, 3, 3])",,"[1, 1]","[1, 1]","[1, 1]",False,"torch.Size([1, 64, 56, 56])"
"torch.Size([1, 64, 56, 56])","torch.Size([64, 64, 3, 3])",,"[1, 1]","[1, 1]","[1, 1]",False,"torch.Size([1, 64, 56, 56])"
"torch.Size([1, 64, 56, 56])","torch.Size([64, 64, 3, 3])",,"[1, 1]","[1, 1]","[1, 1]",False,"torch.Size([1, 64, 56, 56])"
"torch.Size([1, 64, 56, 56])","torch.Size([128, 64, 3, 3])",,"[2, 2]","[1, 1]","[1, 1]",False,"torch.Size([1, 128, 28, 28])"
"torch.Size([1, 128, 28, 28])","torch.Size([128, 128, 3, 3])",,"[1, 1]","[1, 1]","[1, 1]",False,"torch.Size([1, 128, 28, 28])"
"torch.Size([1, 64, 56, 56])","torch.Size([128, 64, 1, 1])",,"[2, 2]","[0, 0]","[1, 1]",False,"torch.Size([1, 128, 28, 28])"
"torch.Size([1, 128, 28, 28])","torch.Size([128, 128, 3, 3])",,"[1, 1]","[1, 1]","[1, 1]",False,"torch.Size([1, 128, 28, 28])"
"torch.Size([1, 128, 28, 28])","torch.Size([128, 128, 3, 3])",,"[1, 1]","[1, 1]","[1, 1]",False,"torch.Size([1, 128, 28, 28])"
"torch.Size([1, 128, 28, 28])","torch.Size([256, 128, 3, 3])",,"[2, 2]","[1, 1]","[1, 1]",False,"torch.Size([1, 256, 14, 14])"
"torch.Size([1, 256, 14, 14])","torch.Size([256, 256, 3, 3])",,"[1, 1]","[1, 1]","[1, 1]",False,"torch.Size([1, 256, 14, 14])"
"torch.Size([1, 128, 28, 28])","torch.Size([256, 128, 1, 1])",,"[2, 2]","[0, 0]","[1, 1]",False,"torch.Size([1, 256, 14, 14])"
"torch.Size([1, 256, 14, 14])","torch.Size([256, 256, 3, 3])",,"[1, 1]","[1, 1]","[1, 1]",False,"torch.Size([1, 256, 14, 14])"
"torch.Size([1, 256, 14, 14])","torch.Size([256, 256, 3, 3])",,"[1, 1]","[1, 1]","[1, 1]",False,"torch.Size([1, 256, 14, 14])"
"torch.Size([1, 256, 14, 14])","torch.Size([512, 256, 3, 3])",,"[2, 2]","[1, 1]","[1, 1]",False,"torch.Size([1, 512, 7, 7])"
"torch.Size([1, 512, 7, 7])","torch.Size([512, 512, 3, 3])",,"[1, 1]","[1, 1]","[1, 1]",False,"torch.Size([1, 512, 7, 7])"
"torch.Size([1, 256, 14, 14])","torch.Size([512, 256, 1, 1])",,"[2, 2]","[0, 0]","[1, 1]",False,"torch.Size([1, 512, 7, 7])"
"torch.Size([1, 512, 7, 7])","torch.Size([512, 512, 3, 3])",,"[1, 1]","[1, 1]","[1, 1]",False,"torch.Size([1, 512, 7, 7])"
"torch.Size([1, 512, 7, 7])","torch.Size([512, 512, 3, 3])",,"[1, 1]","[1, 1]","[1, 1]",False,"torch.Size([1, 512, 7, 7])"
"torch.Size([1, 3, 224, 224])","torch.Size([64, 3, 7, 7])",,"[2, 2]","[3, 3]","[1, 1]",False,"torch.Size([1, 64, 112, 112])"
"torch.Size([1, 64, 56, 56])","torch.Size([64, 64, 1, 1])",,"[1, 1]","[0, 0]","[1, 1]",False,"torch.Size([1, 64, 56, 56])"
"torch.Size([1, 64, 56, 56])","torch.Size([64, 64, 3, 3])",,"[1, 1]","[1, 1]","[1, 1]",False,"torch.Size([1, 64, 56, 56])"
"torch.Size([1, 64, 56, 56])","torch.Size([256, 64, 1, 1])",,"[1, 1]","[0, 0]","[1, 1]",False,"torch.Size([1, 256, 56, 56])"
"torch.Size([1, 64, 56, 56])","torch.Size([256, 64, 1, 1])",,"[1, 1]","[0, 0]","[1, 1]",False,"torch.Size([1, 256, 56, 56])"
"torch.Size([1, 256, 56, 56])","torch.Size([64, 256, 1, 1])",,"[1, 1]","[0, 0]","[1, 1]",False,"torch.Size([1, 64, 56, 56])"
"torch.Size([1, 64, 56, 56])","torch.Size([64, 64, 3, 3])",,"[1, 1]","[1, 1]","[1, 1]",False,"torch.Size([1, 64, 56, 56])"
"torch.Size([1, 64, 56, 56])","torch.Size([256, 64, 1, 1])",,"[1, 1]","[0, 0]","[1, 1]",False,"torch.Size([1, 256, 56, 56])"
"torch.Size([1, 256, 56, 56])","torch.Size([64, 256, 1, 1])",,"[1, 1]","[0, 0]","[1, 1]",False,"torch.Size([1, 64, 56, 56])"
"torch.Size([1, 64, 56, 56])","torch.Size([64, 64, 3, 3])",,"[1, 1]","[1, 1]","[1, 1]",False,"torch.Size([1, 64, 56, 56])"
"torch.Size([1, 64, 56, 56])","torch.Size([256, 64, 1, 1])",,"[1, 1]","[0, 0]","[1, 1]",False,"torch.Size([1, 256, 56, 56])"
"torch.Size([1, 256, 56, 56])","torch.Size([128, 256, 1, 1])",,"[1, 1]","[0, 0]","[1, 1]",False,"torch.Size([1, 128, 56, 56])"
"torch.Size([1, 128, 56, 56])","torch.Size([128, 128, 3, 3])",,"[2, 2]","[1, 1]","[1, 1]",False,"torch.Size([1, 128, 28, 28])"
"torch.Size([1, 128, 28, 28])","torch.Size([512, 128, 1, 1])",,"[1, 1]","[0, 0]","[1, 1]",False,"torch.Size([1, 512, 28, 28])"
"torch.Size([1, 256, 56, 56])","torch.Size([512, 256, 1, 1])",,"[2, 2]","[0, 0]","[1, 1]",False,"torch.Size([1, 512, 28, 28])"
"torch.Size([1, 512, 28, 28])","torch.Size([128, 512, 1, 1])",,"[1, 1]","[0, 0]","[1, 1]",False,"torch.Size([1, 128, 28, 28])"
"torch.Size([1, 128, 28, 28])","torch.Size([128, 128, 3, 3])",,"[1, 1]","[1, 1]","[1, 1]",False,"torch.Size([1, 128, 28, 28])"
"torch.Size([1, 128, 28, 28])","torch.Size([512, 128, 1, 1])",,"[1, 1]","[0, 0]","[1, 1]",False,"torch.Size([1, 512, 28, 28])"
"torch.Size([1, 512, 28, 28])","torch.Size([128, 512, 1, 1])",,"[1, 1]","[0, 0]","[1, 1]",False,"torch.Size([1, 128, 28, 28])"
"torch.Size([1, 128, 28, 28])","torch.Size([128, 128, 3, 3])",,"[1, 1]","[1, 1]","[1, 1]",False,"torch.Size([1, 128, 28, 28])"
"torch.Size([1, 128, 28, 28])","torch.Size([512, 128, 1, 1])",,"[1, 1]","[0, 0]","[1, 1]",False,"torch.Size([1, 512, 28, 28])"
"torch.Size([1, 512, 28, 28])","torch.Size([128, 512, 1, 1])",,"[1, 1]","[0, 0]","[1, 1]",False,"torch.Size([1, 128, 28, 28])"
"torch.Size([1, 128, 28, 28])","torch.Size([128, 128, 3, 3])",,"[1, 1]","[1, 1]","[1, 1]",False,"torch.Size([1, 128, 28, 28])"
"torch.Size([1, 128, 28, 28])","torch.Size([512, 128, 1, 1])",,"[1, 1]","[0, 0]","[1, 1]",False,"torch.Size([1, 512, 28, 28])"
"torch.Size([1, 512, 28, 28])","torch.Size([256, 512, 1, 1])",,"[1, 1]","[0, 0]","[1, 1]",False,"torch.Size([1, 256, 28, 28])"
"torch.Size([1, 256, 28, 28])","torch.Size([256, 256, 3, 3])",,"[2, 2]","[1, 1]","[1, 1]",False,"torch.Size([1, 256, 14, 14])"
"torch.Size([1, 256, 14, 14])","torch.Size([1024, 256, 1, 1])",,"[1, 1]","[0, 0]","[1, 1]",False,"torch.Size([1, 1024, 14, 14])"
"torch.Size([1, 512, 28, 28])","torch.Size([1024, 512, 1, 1])",,"[2, 2]","[0, 0]","[1, 1]",False,"torch.Size([1, 1024, 14, 14])"
"torch.Size([1, 1024, 14, 14])","torch.Size([256, 1024, 1, 1])",,"[1, 1]","[0, 0]","[1, 1]",False,"torch.Size([1, 256, 14, 14])"
"torch.Size([1, 256, 14, 14])","torch.Size([256, 256, 3, 3])",,"[1, 1]","[1, 1]","[1, 1]",False,"torch.Size([1, 256, 14, 14])"
"torch.Size([1, 256, 14, 14])","torch.Size([1024, 256, 1, 1])",,"[1, 1]","[0, 0]","[1, 1]",False,"torch.Size([1, 1024, 14, 14])"
"torch.Size([1, 1024, 14, 14])","torch.Size([256, 1024, 1, 1])",,"[1, 1]","[0, 0]","[1, 1]",False,"torch.Size([1, 256, 14, 14])"
"torch.Size([1, 256, 14, 14])","torch.Size([256, 256, 3, 3])",,"[1, 1]","[1, 1]","[1, 1]",False,"torch.Size([1, 256, 14, 14])"
"torch.Size([1, 256, 14, 14])","torch.Size([1024, 256, 1, 1])",,"[1, 1]","[0, 0]","[1, 1]",False,"torch.Size([1, 1024, 14, 14])"
"torch.Size([1, 1024, 14, 14])","torch.Size([256, 1024, 1, 1])",,"[1, 1]","[0, 0]","[1, 1]",False,"torch.Size([1, 256, 14, 14])"
"torch.Size([1, 256, 14, 14])","torch.Size([256, 256, 3, 3])",,"[1, 1]","[1, 1]","[1, 1]",False,"torch.Size([1, 256, 14, 14])"
"torch.Size([1, 256, 14, 14])","torch.Size([1024, 256, 1, 1])",,"[1, 1]","[0, 0]","[1, 1]",False,"torch.Size([1, 1024, 14, 14])"
"torch.Size([1, 1024, 14, 14])","torch.Size([256, 1024, 1, 1])",,"[1, 1]","[0, 0]","[1, 1]",False,"torch.Size([1, 256, 14, 14])"
"torch.Size([1, 256, 14, 14])","torch.Size([256, 256, 3, 3])",,"[1, 1]","[1, 1]","[1, 1]",False,"torch.Size([1, 256, 14, 14])"
"torch.Size([1, 256, 14, 14])","torch.Size([1024, 256, 1, 1])",,"[1, 1]","[0, 0]","[1, 1]",False,"torch.Size([1, 1024, 14, 14])"
"torch.Size([1, 1024, 14, 14])","torch.Size([256, 1024, 1, 1])",,"[1, 1]","[0, 0]","[1, 1]",False,"torch.Size([1, 256, 14, 14])"
"torch.Size([1, 256, 14, 14])","torch.Size([256, 256, 3, 3])",,"[1, 1]","[1, 1]","[1, 1]",False,"torch.Size([1, 256, 14, 14])"
"torch.Size([1, 256, 14, 14])","torch.Size([1024, 256, 1, 1])",,"[1, 1]","[0, 0]","[1, 1]",False,"torch.Size([1, 1024, 14, 14])"
"torch.Size([1, 1024, 14, 14])","torch.Size([256, 1024, 1, 1])",,"[1, 1]","[0, 0]","[1, 1]",False,"torch.Size([1, 256, 14, 14])"
"torch.Size([1, 256, 14, 14])","torch.Size([256, 256, 3, 3])",,"[1, 1]","[1, 1]","[1, 1]",False,"torch.Size([1, 256, 14, 14])"
"torch.Size([1, 256, 14, 14])","torch.Size([1024, 256, 1, 1])",,"[1, 1]","[0, 0]","[1, 1]",False,"torch.Size([1, 1024, 14, 14])"
"torch.Size([1, 1024, 14, 14])","torch.Size([256, 1024, 1, 1])",,"[1, 1]","[0, 0]","[1, 1]",False,"torch.Size([1, 256, 14, 14])"
"torch.Size([1, 256, 14, 14])","torch.Size([256, 256, 3, 3])",,"[1, 1]","[1, 1]","[1, 1]",False,"torch.Size([1, 256, 14, 14])"
"torch.Size([1, 256, 14, 14])","torch.Size([1024, 256, 1, 1])",,"[1, 1]","[0, 0]","[1, 1]",False,"torch.Size([1, 1024, 14, 14])"
"torch.Size([1, 1024, 14, 14])","torch.Size([256, 1024, 1, 1])",,"[1, 1]","[0, 0]","[1, 1]",False,"torch.Size([1, 256, 14, 14])"
"torch.Size([1, 256, 14, 14])","torch.Size([256, 256, 3, 3])",,"[1, 1]","[1, 1]","[1, 1]",False,"torch.Size([1, 256, 14, 14])"
"torch.Size([1, 256, 14, 14])","torch.Size([1024, 256, 1, 1])",,"[1, 1]","[0, 0]","[1, 1]",False,"torch.Size([1, 1024, 14, 14])"
"torch.Size([1, 1024, 14, 14])","torch.Size([256, 1024, 1, 1])",,"[1, 1]","[0, 0]","[1, 1]",False,"torch.Size([1, 256, 14, 14])"
"torch.Size([1, 256, 14, 14])","torch.Size([256, 256, 3, 3])",,"[1, 1]","[1, 1]","[1, 1]",False,"torch.Size([1, 256, 14, 14])"
"torch.Size([1, 256, 14, 14])","torch.Size([1024, 256, 1, 1])",,"[1, 1]","[0, 0]","[1, 1]",False,"torch.Size([1, 1024, 14, 14])"
"torch.Size([1, 1024, 14, 14])","torch.Size([256, 1024, 1, 1])",,"[1, 1]","[0, 0]","[1, 1]",False,"torch.Size([1, 256, 14, 14])"
"torch.Size([1, 256, 14, 14])","torch.Size([256, 256, 3, 3])",,"[1, 1]","[1, 1]","[1, 1]",False,"torch.Size([1, 256, 14, 14])"
"torch.Size([1, 256, 14, 14])","torch.Size([1024, 256, 1, 1])",,"[1, 1]","[0, 0]","[1, 1]",False,"torch.Size([1, 1024, 14, 14])"
"torch.Size([1, 1024, 14, 14])","torch.Size([256, 1024, 1, 1])",,"[1, 1]","[0, 0]","[1, 1]",False,"torch.Size([1, 256, 14, 14])"
"torch.Size([1, 256, 14, 14])","torch.Size([256, 256, 3, 3])",,"[1, 1]","[1, 1]","[1, 1]",False,"torch.Size([1, 256, 14, 14])"
"torch.Size([1, 256, 14, 14])","torch.Size([1024, 256, 1, 1])",,"[1, 1]","[0, 0]","[1, 1]",False,"torch.Size([1, 1024, 14, 14])"
"torch.Size([1, 1024, 14, 14])","torch.Size([256, 1024, 1, 1])",,"[1, 1]","[0, 0]","[1, 1]",False,"torch.Size([1, 256, 14, 14])"
"torch.Size([1, 256, 14, 14])","torch.Size([256, 256, 3, 3])",,"[1, 1]","[1, 1]","[1, 1]",False,"torch.Size([1, 256, 14, 14])"
"torch.Size([1, 256, 14, 14])","torch.Size([1024, 256, 1, 1])",,"[1, 1]","[0, 0]","[1, 1]",False,"torch.Size([1, 1024, 14, 14])"
"torch.Size([1, 1024, 14, 14])","torch.Size([256, 1024, 1, 1])",,"[1, 1]","[0, 0]","[1, 1]",False,"torch.Size([1, 256, 14, 14])"
"torch.Size([1, 256, 14, 14])","torch.Size([256, 256, 3, 3])",,"[1, 1]","[1, 1]","[1, 1]",False,"torch.Size([1, 256, 14, 14])"
"torch.Size([1, 256, 14, 14])","torch.Size([1024, 256, 1, 1])",,"[1, 1]","[0, 0]","[1, 1]",False,"torch.Size([1, 1024, 14, 14])"
"torch.Size([1, 1024, 14, 14])","torch.Size([256, 1024, 1, 1])",,"[1, 1]","[0, 0]","[1, 1]",False,"torch.Size([1, 256, 14, 14])"
"torch.Size([1, 256, 14, 14])","torch.Size([256, 256, 3, 3])",,"[1, 1]","[1, 1]","[1, 1]",False,"torch.Size([1, 256, 14, 14])"
"torch.Size([1, 256, 14, 14])","torch.Size([1024, 256, 1, 1])",,"[1, 1]","[0, 0]","[1, 1]",False,"torch.Size([1, 1024, 14, 14])"
"torch.Size([1, 1024, 14, 14])","torch.Size([256, 1024, 1, 1])",,"[1, 1]","[0, 0]","[1, 1]",False,"torch.Size([1, 256, 14, 14])"
"torch.Size([1, 256, 14, 14])","torch.Size([256, 256, 3, 3])",,"[1, 1]","[1, 1]","[1, 1]",False,"torch.Size([1, 256, 14, 14])"
"torch.Size([1, 256, 14, 14])","torch.Size([1024, 256, 1, 1])",,"[1, 1]","[0, 0]","[1, 1]",False,"torch.Size([1, 1024, 14, 14])"
"torch.Size([1, 1024, 14, 14])","torch.Size([256, 1024, 1, 1])",,"[1, 1]","[0, 0]","[1, 1]",False,"torch.Size([1, 256, 14, 14])"
"torch.Size([1, 256, 14, 14])","torch.Size([256, 256, 3, 3])",,"[1, 1]","[1, 1]","[1, 1]",False,"torch.Size([1, 256, 14, 14])"
"torch.Size([1, 256, 14, 14])","torch.Size([1024, 256, 1, 1])",,"[1, 1]","[0, 0]","[1, 1]",False,"torch.Size([1, 1024, 14, 14])"
"torch.Size([1, 1024, 14, 14])","torch.Size([256, 1024, 1, 1])",,"[1, 1]","[0, 0]","[1, 1]",False,"torch.Size([1, 256, 14, 14])"
"torch.Size([1, 256, 14, 14])","torch.Size([256, 256, 3, 3])",,"[1, 1]","[1, 1]","[1, 1]",False,"torch.Size([1, 256, 14, 14])"
"torch.Size([1, 256, 14, 14])","torch.Size([1024, 256, 1, 1])",,"[1, 1]","[0, 0]","[1, 1]",False,"torch.Size([1, 1024, 14, 14])"
"torch.Size([1, 1024, 14, 14])","torch.Size([256, 1024, 1, 1])",,"[1, 1]","[0, 0]","[1, 1]",False,"torch.Size([1, 256, 14, 14])"
"torch.Size([1, 256, 14, 14])","torch.Size([256, 256, 3, 3])",,"[1, 1]","[1, 1]","[1, 1]",False,"torch.Size([1, 256, 14, 14])"
"torch.Size([1, 256, 14, 14])","torch.Size([1024, 256, 1, 1])",,"[1, 1]","[0, 0]","[1, 1]",False,"torch.Size([1, 1024, 14, 14])"
"torch.Size([1, 1024, 14, 14])","torch.Size([256, 1024, 1, 1])",,"[1, 1]","[0, 0]","[1, 1]",False,"torch.Size([1, 256, 14, 14])"
"torch.Size([1, 256, 14, 14])","torch.Size([256, 256, 3, 3])",,"[1, 1]","[1, 1]","[1, 1]",False,"torch.Size([1, 256, 14, 14])"
"torch.Size([1, 256, 14, 14])","torch.Size([1024, 256, 1, 1])",,"[1, 1]","[0, 0]","[1, 1]",False,"torch.Size([1, 1024, 14, 14])"
"torch.Size([1, 1024, 14, 14])","torch.Size([256, 1024, 1, 1])",,"[1, 1]","[0, 0]","[1, 1]",False,"torch.Size([1, 256, 14, 14])"
"torch.Size([1, 256, 14, 14])","torch.Size([256, 256, 3, 3])",,"[1, 1]","[1, 1]","[1, 1]",False,"torch.Size([1, 256, 14, 14])"
"torch.Size([1, 256, 14, 14])","torch.Size([1024, 256, 1, 1])",,"[1, 1]","[0, 0]","[1, 1]",False,"torch.Size([1, 1024, 14, 14])"
"torch.Size([1, 1024, 14, 14])","torch.Size([256, 1024, 1, 1])",,"[1, 1]","[0, 0]","[1, 1]",False,"torch.Size([1, 256, 14, 14])"
"torch.Size([1, 256, 14, 14])","torch.Size([256, 256, 3, 3])",,"[1, 1]","[1, 1]","[1, 1]",False,"torch.Size([1, 256, 14, 14])"
"torch.Size([1, 256, 14, 14])","torch.Size([1024, 256, 1, 1])",,"[1, 1]","[0, 0]","[1, 1]",False,"torch.Size([1, 1024, 14, 14])"
"torch.Size([1, 1024, 14, 14])","torch.Size([256, 1024, 1, 1])",,"[1, 1]","[0, 0]","[1, 1]",False,"torch.Size([1, 256, 14, 14])"
"torch.Size([1, 256, 14, 14])","torch.Size([256, 256, 3, 3])",,"[1, 1]","[1, 1]","[1, 1]",False,"torch.Size([1, 256, 14, 14])"
"torch.Size([1, 256, 14, 14])","torch.Size([1024, 256, 1, 1])",,"[1, 1]","[0, 0]","[1, 1]",False,"torch.Size([1, 1024, 14, 14])"
"torch.Size([1, 1024, 14, 14])","torch.Size([512, 1024, 1, 1])",,"[1, 1]","[0, 0]","[1, 1]",False,"torch.Size([1, 512, 14, 14])"
"torch.Size([1, 512, 14, 14])","torch.Size([512, 512, 3, 3])",,"[2, 2]","[1, 1]","[1, 1]",False,"torch.Size([1, 512, 7, 7])"
"torch.Size([1, 512, 7, 7])","torch.Size([2048, 512, 1, 1])",,"[1, 1]","[0, 0]","[1, 1]",False,"torch.Size([1, 2048, 7, 7])"
"torch.Size([1, 1024, 14, 14])","torch.Size([2048, 1024, 1, 1])",,"[2, 2]","[0, 0]","[1, 1]",False,"torch.Size([1, 2048, 7, 7])"
"torch.Size([1, 2048, 7, 7])","torch.Size([512, 2048, 1, 1])",,"[1, 1]","[0, 0]","[1, 1]",False,"torch.Size([1, 512, 7, 7])"
"torch.Size([1, 512, 7, 7])","torch.Size([512, 512, 3, 3])",,"[1, 1]","[1, 1]","[1, 1]",False,"torch.Size([1, 512, 7, 7])"
"torch.Size([1, 512, 7, 7])","torch.Size([2048, 512, 1, 1])",,"[1, 1]","[0, 0]","[1, 1]",False,"torch.Size([1, 2048, 7, 7])"
"torch.Size([1, 2048, 7, 7])","torch.Size([512, 2048, 1, 1])",,"[1, 1]","[0, 0]","[1, 1]",False,"torch.Size([1, 512, 7, 7])"
"torch.Size([1, 512, 7, 7])","torch.Size([512, 512, 3, 3])",,"[1, 1]","[1, 1]","[1, 1]",False,"torch.Size([1, 512, 7, 7])"
"torch.Size([1, 512, 7, 7])","torch.Size([2048, 512, 1, 1])",,"[1, 1]","[0, 0]","[1, 1]",False,"torch.Size([1, 2048, 7, 7])"
"torch.Size([1, 3, 224, 224])","torch.Size([64, 3, 11, 11])",torch.Size([64]),"[4, 4]","[2, 2]","[1, 1]",False,"torch.Size([1, 64, 55, 55])"
"torch.Size([1, 64, 27, 27])","torch.Size([192, 64, 5, 5])",torch.Size([192]),"[1, 1]","[2, 2]","[1, 1]",False,"torch.Size([1, 192, 27, 27])"
"torch.Size([1, 192, 13, 13])","torch.Size([384, 192, 3, 3])",torch.Size([384]),"[1, 1]","[1, 1]","[1, 1]",False,"torch.Size([1, 384, 13, 13])"
"torch.Size([1, 384, 13, 13])","torch.Size([256, 384, 3, 3])",torch.Size([256]),"[1, 1]","[1, 1]","[1, 1]",False,"torch.Size([1, 256, 13, 13])"
"torch.Size([1, 256, 13, 13])","torch.Size([256, 256, 3, 3])",torch.Size([256]),"[1, 1]","[1, 1]","[1, 1]",False,"torch.Size([1, 256, 13, 13])"
"torch.Size([1, 3, 224, 224])","torch.Size([96, 3, 7, 7])",torch.Size([96]),"[2, 2]","[0, 0]","[1, 1]",False,"torch.Size([1, 96, 109, 109])"
"torch.Size([1, 96, 54, 54])","torch.Size([16, 96, 1, 1])",torch.Size([16]),"[1, 1]","[0, 0]","[1, 1]",False,"torch.Size([1, 16, 54, 54])"
"torch.Size([1, 16, 54, 54])","torch.Size([64, 16, 1, 1])",torch.Size([64]),"[1, 1]","[0, 0]","[1, 1]",False,"torch.Size([1, 64, 54, 54])"
"torch.Size([1, 16, 54, 54])","torch.Size([64, 16, 3, 3])",torch.Size([64]),"[1, 1]","[1, 1]","[1, 1]",False,"torch.Size([1, 64, 54, 54])"
"torch.Size([1, 128, 54, 54])","torch.Size([16, 128, 1, 1])",torch.Size([16]),"[1, 1]","[0, 0]","[1, 1]",False,"torch.Size([1, 16, 54, 54])"
"torch.Size([1, 16, 54, 54])","torch.Size([64, 16, 1, 1])",torch.Size([64]),"[1, 1]","[0, 0]","[1, 1]",False,"torch.Size([1, 64, 54, 54])"
