Inputs,in_size,out_size,Bias
8,60,5,False
8,60,6,False
8,60,7,False
8,60,8,False
8,60,9,False
8,60,10,False
8,60,20,False
8,60,30,False
8,60,40,False
8,60,50,False
8,60,60,False
8,60,70,False
8,60,80,False
8,60,90,False
8,60,100,False
8,60,200,False
8,60,300,False
8,60,400,False
8,60,500,False
8,60,600,False
8,60,700,False
8,60,800,False
8,60,900,False
8,60,1000,False
8,70,1,False
8,70,2,False
8,70,3,False
8,70,4,False
8,70,5,False
8,70,6,False
8,70,7,False
8,70,8,False
8,70,9,False
8,70,10,False
8,70,20,False
8,70,30,False
8,70,40,False
8,70,50,False
8,70,60,False
8,70,70,False
8,70,80,False
8,70,90,False
8,70,100,False
8,70,200,False
8,70,300,False
8,70,400,False
8,70,500,False
8,70,600,False
8,70,700,False
8,70,800,False
8,70,900,False
8,70,1000,False
8,80,1,False
8,80,2,False
8,80,3,False
8,80,4,False
8,80,5,False
8,80,6,False
8,80,7,False
8,80,8,False
8,80,9,False
8,80,10,False
8,80,20,False
8,80,30,False
8,80,40,False
8,80,50,False
8,80,60,False
8,80,70,False
8,80,80,False
8,80,90,False
8,80,100,False
8,80,200,False
8,80,300,False
8,80,400,False
8,80,500,False
8,80,600,False
8,80,700,False
8,80,800,False
8,80,900,False
8,80,1000,False
8,90,1,False
8,90,2,False
8,90,3,False
8,90,4,False
8,90,5,False
8,90,6,False
8,90,7,False
8,90,8,False
8,90,9,False
8,90,10,False
8,90,20,False
8,90,30,False
8,90,40,False
8,90,50,False
8,90,60,False
8,90,70,False
8,90,80,False
8,90,90,False
8,90,100,False
8,90,200,False
8,90,300,False
8,90,400,False
8,90,500,False
8,90,600,False
8,90,700,False
8,90,800,False
8,90,900,False
8,90,1000,False
8,100,1,False
8,100,2,False
8,100,3,False
8,100,4,False
8,100,5,False
8,100,6,False
8,100,7,False
8,100,8,False
8,100,9,False
8,100,10,False
8,100,20,False
8,100,30,False
8,100,40,False
8,100,50,False
8,100,60,False
8,100,70,False
8,100,80,False
8,100,90,False
8,100,100,False
8,100,200,False
8,100,300,False
8,100,400,False
8,100,500,False
8,100,600,False
8,100,700,False
8,100,800,False
8,100,900,False
8,100,1000,False
8,200,1,False
8,200,2,False
8,200,3,False
8,200,4,False
8,200,5,False
8,200,6,False
8,200,7,False
8,200,8,False
8,200,9,False
8,200,10,False
8,200,20,False
8,200,30,False
8,200,40,False
8,200,50,False
8,200,60,False
8,200,70,False
8,200,80,False
8,200,90,False
8,200,100,False
8,200,200,False
8,200,300,False
8,200,400,False
8,200,500,False
8,200,600,False
8,200,700,False
8,200,800,False
8,200,900,False
8,200,1000,False
8,300,1,False
8,300,2,False
8,300,3,False
8,300,4,False
8,300,5,False
8,300,6,False
8,300,7,False
8,300,8,False
8,300,9,False
8,300,10,False
8,300,20,False
8,300,30,False
8,300,40,False
8,300,50,False
8,300,60,False
8,300,70,False
8,300,80,False
8,300,90,False
8,300,100,False
8,300,200,False
8,300,300,False
8,300,400,False
8,300,500,False
8,300,600,False
8,300,700,False
8,300,800,False
8,300,900,False
8,300,1000,False
8,400,1,False
8,400,2,False
8,400,3,False
8,400,4,False
8,400,5,False
8,400,6,False
8,400,7,False
8,400,8,False
8,400,9,False
8,400,10,False
8,400,20,False
8,400,30,False
8,400,40,False
8,400,50,False
8,400,60,False
8,400,70,False
8,400,80,False
8,400,90,False
8,400,100,False
8,400,200,False
8,400,300,False
8,400,400,False
8,400,500,False
8,400,600,False
8,400,700,False
8,400,800,False
8,400,900,False
8,400,1000,False
8,500,1,False
8,500,2,False
8,500,3,False
8,500,4,False
8,500,5,False
8,500,6,False
8,500,7,False
8,500,8,False
8,500,9,False
8,500,10,False
8,500,20,False
8,500,30,False
8,500,40,False
8,500,50,False
8,500,60,False
8,500,70,False
8,500,80,False
8,500,90,False
8,500,100,False
8,500,200,False
8,500,300,False
8,500,400,False
8,500,500,False
8,500,600,False
8,500,700,False
8,500,800,False
8,500,900,False
8,500,1000,False
8,600,1,False
8,600,2,False
8,600,3,False
8,600,4,False
8,600,5,False
8,600,6,False
8,600,7,False
8,600,8,False
8,600,9,False
8,600,10,False
8,600,20,False
8,600,30,False
8,600,40,False
8,600,50,False
8,600,60,False
8,600,70,False
8,600,80,False
8,600,90,False
8,600,100,False
8,600,200,False
8,600,300,False
8,600,400,False
8,600,500,False
8,600,600,False
8,600,700,False
8,600,800,False
8,600,900,False
8,600,1000,False
8,700,1,False
8,700,2,False
8,700,3,False
8,700,4,False
8,700,5,False
8,700,6,False
8,700,7,False
8,700,8,False
8,700,9,False
8,700,10,False
8,700,20,False
8,700,30,False
8,700,40,False
8,700,50,False
8,700,60,False
8,700,70,False
8,700,80,False
8,700,90,False
8,700,100,False
8,700,200,False
8,700,300,False
8,700,400,False
8,700,500,False
8,700,600,False
8,700,700,False
8,700,800,False
8,700,900,False
8,700,1000,False
8,800,1,False
8,800,2,False
8,800,3,False
8,800,4,False
8,800,5,False
8,800,6,False
8,800,7,False
8,800,8,False
8,800,9,False
8,800,10,False
8,800,20,False
8,800,30,False
8,800,40,False
8,800,50,False
8,800,60,False
8,800,70,False
8,800,80,False
8,800,90,False
8,800,100,False
8,800,200,False
8,800,300,False
8,800,400,False
8,800,500,False
8,800,600,False
8,800,700,False
8,800,800,False
8,800,900,False
8,800,1000,False
8,900,1,False
8,900,2,False
8,900,3,False
8,900,4,False
8,900,5,False
8,900,6,False
8,900,7,False
8,900,8,False
8,900,9,False
8,900,10,False
8,900,20,False
8,900,30,False
8,900,40,False
8,900,50,False
8,900,60,False
8,900,70,False
8,900,80,False
8,900,90,False
8,900,100,False
8,900,200,False
8,900,300,False
8,900,400,False
8,900,500,False
8,900,600,False
8,900,700,False
8,900,800,False
8,900,900,False
8,900,1000,False
8,1000,1,False
8,1000,2,False
8,1000,3,False
8,1000,4,False
8,1000,5,False
8,1000,6,False
8,1000,7,False
8,1000,8,False
8,1000,9,False
8,1000,10,False
8,1000,20,False
8,1000,30,False
8,1000,40,False
8,1000,50,False
8,1000,60,False
8,1000,70,False
8,1000,80,False
8,1000,90,False
8,1000,100,False
8,1000,200,False
8,1000,300,False
8,1000,400,False
8,1000,500,False
8,1000,600,False
8,1000,700,False
8,1000,800,False
8,1000,900,False
8,1000,1000,False
8,1100,1,False
8,1100,2,False
8,1100,3,False
8,1100,4,False
8,1100,5,False
8,1100,6,False
8,1100,7,False
8,1100,8,False
8,1100,9,False
8,1100,10,False
8,1100,20,False
8,1100,30,False
8,1100,40,False
8,1100,50,False
8,1100,60,False
8,1100,70,False
8,1100,80,False
8,1100,90,False
8,1100,100,False
8,1100,200,False
8,1100,300,False
8,1100,400,False
8,1100,500,False
8,1100,600,False
8,1100,700,False
8,1100,800,False
8,1100,900,False
8,1100,1000,False
8,1200,1,False
8,1200,2,False
8,1200,3,False
8,1200,4,False
8,1200,5,False
8,1200,6,False
8,1200,7,False
8,1200,8,False
8,1200,9,False
8,1200,10,False
8,1200,20,False
8,1200,30,False
8,1200,40,False
8,1200,50,False
8,1200,60,False
8,1200,70,False
8,1200,80,False
8,1200,90,False
8,1200,100,False
8,1200,200,False
8,1200,300,False
8,1200,400,False
8,1200,500,False
8,1200,600,False
8,1200,700,False
8,1200,800,False
8,1200,900,False
8,1200,1000,False
8,1300,1,False
8,1300,2,False
8,1300,3,False
8,1300,4,False
8,1300,5,False
8,1300,6,False
8,1300,7,False
8,1300,8,False
8,1300,9,False
8,1300,10,False
8,1300,20,False
8,1300,30,False
8,1300,40,False
8,1300,50,False
8,1300,60,False
8,1300,70,False
8,1300,80,False
8,1300,90,False
8,1300,100,False
8,1300,200,False
8,1300,300,False
8,1300,400,False
8,1300,500,False
8,1300,600,False
8,1300,700,False
8,1300,800,False
8,1300,900,False
8,1300,1000,False
8,1400,1,False
8,1400,2,False
8,1400,3,False
8,1400,4,False
8,1400,5,False
8,1400,6,False
8,1400,7,False
8,1400,8,False
8,1400,9,False
8,1400,10,False
8,1400,20,False
8,1400,30,False
8,1400,40,False
8,1400,50,False
8,1400,60,False
8,1400,70,False
8,1400,80,False
8,1400,90,False
8,1400,100,False
8,1400,200,False
8,1400,300,False
8,1400,400,False
8,1400,500,False
8,1400,600,False
8,1400,700,False
8,1400,800,False
8,1400,900,False
8,1400,1000,False
8,1500,1,False
8,1500,2,False
8,1500,3,False
8,1500,4,False
8,1500,5,False
8,1500,6,False
8,1500,7,False
8,1500,8,False
8,1500,9,False
8,1500,10,False
8,1500,20,False
8,1500,30,False
8,1500,40,False
8,1500,50,False
8,1500,60,False
8,1500,70,False
8,1500,80,False
8,1500,90,False
8,1500,100,False
8,1500,200,False
8,1500,300,False
8,1500,400,False
8,1500,500,False
8,1500,600,False
8,1500,700,False
8,1500,800,False
8,1500,900,False
8,1500,1000,False
8,1600,1,False
8,1600,2,False
8,1600,3,False
8,1600,4,False
8,1600,5,False
8,1600,6,False
8,1600,7,False
8,1600,8,False
8,1600,9,False
8,1600,10,False
8,1600,20,False
8,1600,30,False
8,1600,40,False
8,1600,50,False
8,1600,60,False
8,1600,70,False
8,1600,80,False
8,1600,90,False
8,1600,100,False
8,1600,200,False
8,1600,300,False
8,1600,400,False
8,1600,500,False
8,1600,600,False
8,1600,700,False
8,1600,800,False
8,1600,900,False
8,1600,1000,False
8,1700,1,False
8,1700,2,False
8,1700,3,False
8,1700,4,False
8,1700,5,False
8,1700,6,False
8,1700,7,False
8,1700,8,False
8,1700,9,False
8,1700,10,False
8,1700,20,False
8,1700,30,False
8,1700,40,False
8,1700,50,False
8,1700,60,False
8,1700,70,False
8,1700,80,False
8,1700,90,False
8,1700,100,False
8,1700,200,False
8,1700,300,False
8,1700,400,False
8,1700,500,False
8,1700,600,False
8,1700,700,False
8,1700,800,False
8,1700,900,False
8,1700,1000,False
8,1800,1,False
8,1800,2,False
8,1800,3,False
8,1800,4,False
8,1800,5,False
8,1800,6,False
8,1800,7,False
8,1800,8,False
8,1800,9,False
8,1800,10,False
8,1800,20,False
8,1800,30,False
8,1800,40,False
8,1800,50,False
8,1800,60,False
8,1800,70,False
8,1800,80,False
8,1800,90,False
8,1800,100,False
8,1800,200,False
8,1800,300,False
8,1800,400,False
8,1800,500,False
8,1800,600,False
8,1800,700,False
8,1800,800,False
8,1800,900,False
8,1800,1000,False
8,1900,1,False
8,1900,2,False
8,1900,3,False
8,1900,4,False
8,1900,5,False
8,1900,6,False
8,1900,7,False
8,1900,8,False
8,1900,9,False
8,1900,10,False
8,1900,20,False
8,1900,30,False
8,1900,40,False
8,1900,50,False
8,1900,60,False
8,1900,70,False
8,1900,80,False
8,1900,90,False
8,1900,100,False
8,1900,200,False
8,1900,300,False
8,1900,400,False
8,1900,500,False
8,1900,600,False
8,1900,700,False
8,1900,800,False
8,1900,900,False
8,1900,1000,False
8,2000,1,False
8,2000,2,False
8,2000,3,False
8,2000,4,False
8,2000,5,False
8,2000,6,False
8,2000,7,False
8,2000,8,False
8,2000,9,False
8,2000,10,False
8,2000,20,False
8,2000,30,False
8,2000,40,False
8,2000,50,False
8,2000,60,False
8,2000,70,False
8,2000,80,False
8,2000,90,False
8,2000,100,False
8,2000,200,False
8,2000,300,False
8,2000,400,False
8,2000,500,False
8,2000,600,False
8,2000,700,False
8,2000,800,False
8,2000,900,False
8,2000,1000,False
8,2100,1,False
8,2100,2,False
8,2100,3,False
8,2100,4,False
8,2100,5,False
8,2100,6,False
8,2100,7,False
8,2100,8,False
8,2100,9,False
8,2100,10,False
8,2100,20,False
8,2100,30,False
8,2100,40,False
8,2100,50,False
8,2100,60,False
8,2100,70,False
8,2100,80,False
8,2100,90,False
8,2100,100,False
8,2100,200,False
8,2100,300,False
8,2100,400,False
8,2100,500,False
8,2100,600,False
8,2100,700,False
8,2100,800,False
8,2100,900,False
8,2100,1000,False
8,2200,1,False
8,2200,2,False
8,2200,3,False
8,2200,4,False
8,2200,5,False
8,2200,6,False
8,2200,7,False
8,2200,8,False
8,2200,9,False
8,2200,10,False
8,2200,20,False
8,2200,30,False
8,2200,40,False
8,2200,50,False
8,2200,60,False
8,2200,70,False
8,2200,80,False
8,2200,90,False
8,2200,100,False
8,2200,200,False
8,2200,300,False
8,2200,400,False
8,2200,500,False
8,2200,600,False
8,2200,700,False
8,2200,800,False
8,2200,900,False
8,2200,1000,False
8,2300,1,False
8,2300,2,False
8,2300,3,False
8,2300,4,False
8,2300,5,False
8,2300,6,False
8,2300,7,False
8,2300,8,False
8,2300,9,False
8,2300,10,False
8,2300,20,False
8,2300,30,False
8,2300,40,False
8,2300,50,False
8,2300,60,False
8,2300,70,False
8,2300,80,False
8,2300,90,False
8,2300,100,False
8,2300,200,False
8,2300,300,False
8,2300,400,False
8,2300,500,False
8,2300,600,False
8,2300,700,False
8,2300,800,False
8,2300,900,False
8,2300,1000,False
8,2400,1,False
8,2400,2,False
8,2400,3,False
8,2400,4,False
8,2400,5,False
8,2400,6,False
8,2400,7,False
8,2400,8,False
8,2400,9,False
8,2400,10,False
8,2400,20,False
8,2400,30,False
8,2400,40,False
8,2400,50,False
8,2400,60,False
8,2400,70,False
8,2400,80,False
8,2400,90,False
8,2400,100,False
8,2400,200,False
8,2400,300,False
8,2400,400,False
8,2400,500,False
8,2400,600,False
8,2400,700,False
8,2400,800,False
8,2400,900,False
8,2400,1000,False
8,2500,1,False
8,2500,2,False
8,2500,3,False
8,2500,4,False
8,2500,5,False
8,2500,6,False
8,2500,7,False
8,2500,8,False
8,2500,9,False
8,2500,10,False
8,2500,20,False
8,2500,30,False
8,2500,40,False
8,2500,50,False
8,2500,60,False
8,2500,70,False
8,2500,80,False
8,2500,90,False
8,2500,100,False
8,2500,200,False
8,2500,300,False
8,2500,400,False
8,2500,500,False
8,2500,600,False
8,2500,700,False
8,2500,800,False
8,2500,900,False
8,2500,1000,False
8,2600,1,False
8,2600,2,False
8,2600,3,False
8,2600,4,False
8,2600,5,False
8,2600,6,False
8,2600,7,False
8,2600,8,False
8,2600,9,False
8,2600,10,False
8,2600,20,False
8,2600,30,False
8,2600,40,False
8,2600,50,False
8,2600,60,False
8,2600,70,False
8,2600,80,False
8,2600,90,False
8,2600,100,False
8,2600,200,False
8,2600,300,False
8,2600,400,False
8,2600,500,False
8,2600,600,False
8,2600,700,False
8,2600,800,False
8,2600,900,False
8,2600,1000,False
8,2700,1,False
8,2700,2,False
8,2700,3,False
8,2700,4,False
8,2700,5,False
8,2700,6,False
8,2700,7,False
8,2700,8,False
8,2700,9,False
8,2700,10,False
8,2700,20,False
8,2700,30,False
8,2700,40,False
8,2700,50,False
8,2700,60,False
8,2700,70,False
8,2700,80,False
8,2700,90,False
8,2700,100,False
8,2700,200,False
8,2700,300,False
8,2700,400,False
8,2700,500,False
8,2700,600,False
8,2700,700,False
8,2700,800,False
8,2700,900,False
8,2700,1000,False
8,2800,1,False
8,2800,2,False
8,2800,3,False
8,2800,4,False
8,2800,5,False
8,2800,6,False
8,2800,7,False
8,2800,8,False
8,2800,9,False
8,2800,10,False
8,2800,20,False
8,2800,30,False
8,2800,40,False
8,2800,50,False
8,2800,60,False
8,2800,70,False
8,2800,80,False
8,2800,90,False
8,2800,100,False
8,2800,200,False
8,2800,300,False
8,2800,400,False
8,2800,500,False
8,2800,600,False
8,2800,700,False
8,2800,800,False
8,2800,900,False
8,2800,1000,False
8,2900,1,False
8,2900,2,False
8,2900,3,False
8,2900,4,False
8,2900,5,False
8,2900,6,False
8,2900,7,False
8,2900,8,False
8,2900,9,False
8,2900,10,False
8,2900,20,False
8,2900,30,False
8,2900,40,False
8,2900,50,False
8,2900,60,False
8,2900,70,False
8,2900,80,False
8,2900,90,False
8,2900,100,False
8,2900,200,False
8,2900,300,False
8,2900,400,False
8,2900,500,False
8,2900,600,False
8,2900,700,False
8,2900,800,False
8,2900,900,False
8,2900,1000,False
8,3000,1,False
8,3000,2,False
8,3000,3,False
8,3000,4,False
8,3000,5,False
8,3000,6,False
8,3000,7,False
8,3000,8,False
8,3000,9,False
8,3000,10,False
8,3000,20,False
8,3000,30,False
8,3000,40,False
8,3000,50,False
8,3000,60,False
8,3000,70,False
8,3000,80,False
8,3000,90,False
8,3000,100,False
8,3000,200,False
8,3000,300,False
8,3000,400,False
8,3000,500,False
8,3000,600,False
8,3000,700,False
8,3000,800,False
8,3000,900,False
8,3000,1000,False
8,3100,1,False
8,3100,2,False
8,3100,3,False
8,3100,4,False
8,3100,5,False
8,3100,6,False
8,3100,7,False
8,3100,8,False
8,3100,9,False
8,3100,10,False
8,3100,20,False
8,3100,30,False
8,3100,40,False
8,3100,50,False
8,3100,60,False
8,3100,70,False
8,3100,80,False
8,3100,90,False
8,3100,100,False
8,3100,200,False
8,3100,300,False
8,3100,400,False
8,3100,500,False
8,3100,600,False
8,3100,700,False
8,3100,800,False
8,3100,900,False
8,3100,1000,False
8,3200,1,False
8,3200,2,False
8,3200,3,False
8,3200,4,False
8,3200,5,False
8,3200,6,False
8,3200,7,False
8,3200,8,False
8,3200,9,False
8,3200,10,False
8,3200,20,False
8,3200,30,False
8,3200,40,False
8,3200,50,False
8,3200,60,False
8,3200,70,False
8,3200,80,False
8,3200,90,False
8,3200,100,False
8,3200,200,False
8,3200,300,False
8,3200,400,False
8,3200,500,False
8,3200,600,False
8,3200,700,False
8,3200,800,False
8,3200,900,False
8,3200,1000,False
8,3300,1,False
8,3300,2,False
8,3300,3,False
8,3300,4,False
8,3300,5,False
8,3300,6,False
8,3300,7,False
8,3300,8,False
8,3300,9,False
8,3300,10,False
8,3300,20,False
8,3300,30,False
8,3300,40,False
8,3300,50,False
8,3300,60,False
8,3300,70,False
8,3300,80,False
8,3300,90,False
8,3300,100,False
8,3300,200,False
8,3300,300,False
8,3300,400,False
8,3300,500,False
8,3300,600,False
8,3300,700,False
8,3300,800,False
8,3300,900,False
8,3300,1000,False
8,3400,1,False
8,3400,2,False
8,3400,3,False
8,3400,4,False
8,3400,5,False
8,3400,6,False
8,3400,7,False
8,3400,8,False
8,3400,9,False
8,3400,10,False
8,3400,20,False
8,3400,30,False
8,3400,40,False
8,3400,50,False
8,3400,60,False
8,3400,70,False
8,3400,80,False
8,3400,90,False
8,3400,100,False
8,3400,200,False
8,3400,300,False
8,3400,400,False
8,3400,500,False
8,3400,600,False
8,3400,700,False
8,3400,800,False
8,3400,900,False
8,3400,1000,False
8,3500,1,False
8,3500,2,False
8,3500,3,False
8,3500,4,False
8,3500,5,False
8,3500,6,False
8,3500,7,False
8,3500,8,False
8,3500,9,False
8,3500,10,False
8,3500,20,False
8,3500,30,False
8,3500,40,False
8,3500,50,False
8,3500,60,False
8,3500,70,False
8,3500,80,False
8,3500,90,False
8,3500,100,False
8,3500,200,False
8,3500,300,False
8,3500,400,False
8,3500,500,False
8,3500,600,False
8,3500,700,False
8,3500,800,False
8,3500,900,False
8,3500,1000,False
8,3600,1,False
8,3600,2,False
8,3600,3,False
8,3600,4,False
8,3600,5,False
8,3600,6,False
8,3600,7,False
8,3600,8,False
8,3600,9,False
8,3600,10,False
8,3600,20,False
8,3600,30,False
8,3600,40,False
8,3600,50,False
8,3600,60,False
8,3600,70,False
8,3600,80,False
8,3600,90,False
8,3600,100,False
8,3600,200,False
8,3600,300,False
8,3600,400,False
8,3600,500,False
8,3600,600,False
8,3600,700,False
8,3600,800,False
8,3600,900,False
8,3600,1000,False
8,3700,1,False
8,3700,2,False
8,3700,3,False
8,3700,4,False
8,3700,5,False
8,3700,6,False
8,3700,7,False
8,3700,8,False
8,3700,9,False
8,3700,10,False
8,3700,20,False
8,3700,30,False
8,3700,40,False
8,3700,50,False
8,3700,60,False
8,3700,70,False
8,3700,80,False
8,3700,90,False
8,3700,100,False
8,3700,200,False
8,3700,300,False
8,3700,400,False
8,3700,500,False
8,3700,600,False
8,3700,700,False
8,3700,800,False
8,3700,900,False
8,3700,1000,False
8,3800,1,False
8,3800,2,False
8,3800,3,False
8,3800,4,False
8,3800,5,False
8,3800,6,False
8,3800,7,False
8,3800,8,False
8,3800,9,False
8,3800,10,False
8,3800,20,False
8,3800,30,False
8,3800,40,False
8,3800,50,False
8,3800,60,False
8,3800,70,False
8,3800,80,False
8,3800,90,False
8,3800,100,False
8,3800,200,False
8,3800,300,False
8,3800,400,False
8,3800,500,False
8,3800,600,False
8,3800,700,False
8,3800,800,False
8,3800,900,False
8,3800,1000,False
8,3900,1,False
8,3900,2,False
8,3900,3,False
8,3900,4,False
8,3900,5,False
8,3900,6,False
8,3900,7,False
8,3900,8,False
8,3900,9,False
8,3900,10,False
8,3900,20,False
8,3900,30,False
8,3900,40,False
8,3900,50,False
8,3900,60,False
8,3900,70,False
8,3900,80,False
8,3900,90,False
8,3900,100,False
8,3900,200,False
8,3900,300,False
8,3900,400,False
8,3900,500,False
8,3900,600,False
8,3900,700,False
8,3900,800,False
8,3900,900,False
8,3900,1000,False
8,4000,1,False
8,4000,2,False
8,4000,3,False
8,4000,4,False
8,4000,5,False
8,4000,6,False
8,4000,7,False
8,4000,8,False
8,4000,9,False
8,4000,10,False
8,4000,20,False
8,4000,30,False
8,4000,40,False
8,4000,50,False
8,4000,60,False
8,4000,70,False
8,4000,80,False
8,4000,90,False
8,4000,100,False
8,4000,200,False
8,4000,300,False
8,4000,400,False
8,4000,500,False
8,4000,600,False
8,4000,700,False
8,4000,800,False
8,4000,900,False
8,4000,1000,False
8,4100,1,False
8,4100,2,False
8,4100,3,False
8,4100,4,False
8,4100,5,False
